over.1year	not.1year
5503.43	5520.66
5514.91	5512.39
5474.29	5464.68
5537.68	5488.49
5523.53	5473.86
5522.81	5500.05
5517.03	5483.16
5504.82	5523.09
5510.44	5479.02
5536.16	5492
5527.45	5477.49
5502.19	5479.01
5488.08	5495.09
5475.88	5527.49
5495.67	5531.21
5495.05	5509.02
5470.09	5488.27
5533.33	5475.76
5468.11	5491.95
5510.09	5502.62
5514.3	5480.62
5496	5497.76
5474.94	5479.67
5481.35	5491.76
5493.22	5515.37
5496.48	5532.19
5501.56	5459.97
5503.3	5489.02
5520.75	5486.67
5538.23	5484.94
5525.92	5493.29
5498.78	5454.52
5479.11	5454.29
5497.05	5485.44
5522.78	5507.2
5540.22	5484.32
5532.63	5455.51
5493.12	5488.98
5500.62	5478.67
5559.17	5495.22
5507.74	5481.96
5500.92	5463.64
5482.71	5481.57
5494.83	5468.23
5507.69	5519.31
5481.04	5490.13
5551.99	5468.2
5478.71	5468.56
5508.23	5491.62
5489.25	5502.89
