Before	After
171.14	242.95
191.22	216.94
207.76	265.78
165.44	163.32
205.87	213.53
200.9	237.3
202.56	221.5
233.5	324.36
163.43	240.96
238.02	264.47
177.66	244.86
166.06	243.61
178.51	236.2
207.58	268.14
204.56	289.79
190.77	226.34
171.41	208.84
180.55	259.21
236.73	248.06
205.99	261.58
182.65	231.71
171.73	235.74
193.89	274.61
150.01	208.03
185.47	242.42
177.77	250.2
234.82	321.33
230.36	291.86
197.84	218.2
165.9	211.19
227.02	329.08
225.55	264.98
221.83	292.49
222.1	308.83
189.44	263.27
221.17	270.97
239.01	443.14
201.15	224.55
170.62	233.81
223.81	247.22
223.6	247.98
190.69	210.99
250.97	281.44
176.16	257.78
210.45	248.73
132.04	179.92
195.13	231.27
233.93	300.15
186.33	264.28
173.03	216.75
